Date,Country,City,Specie,count,min,max,median,variance
02-01-2021,IN,New Delhi,dew,16,7.5,10,9,6.66
09-01-2021,IN,New Delhi,dew,21,10,16,14,34.79
27-01-2021,IN,New Delhi,dew,21,6,9,8,12.79
27-02-2021,IN,New Delhi,dew,22,9.5,18,16,80.61
28-02-2021,IN,New Delhi,dew,22,10,18,12,43.96
02-03-2021,IN,New Delhi,dew,24,7,15.5,10,72.06
03-03-2021,IN,New Delhi,dew,24,3,11,9,74.13
04-03-2021,IN,New Delhi,dew,23,4,17,11.5,186.08
07-04-2021,IN,New Delhi,dew,21,1,13,9,198.65
06-01-2021,IN,New Delhi,dew,17,14,18,16,13.82
03-02-2021,IN,New Delhi,dew,20,9,15,13,38.23
07-03-2021,IN,New Delhi,dew,21,13.5,21,14.5,67.48
15-03-2021,IN,New Delhi,dew,20,10,17.5,13.5,43.55
20-03-2021,IN,New Delhi,dew,24,6,15.5,13,69.89
22-04-2021,IN,New Delhi,dew,24,9,15.5,12,41.48
12-01-2021,IN,New Delhi,dew,18,6.5,10.5,8,13.9
19-01-2021,IN,New Delhi,dew,10,9,12,11,11.56
25-01-2021,IN,New Delhi,dew,18,8.5,12,10,13.82
29-12-2020,IN,New Delhi,dew,20,4,8,5,19.24
21-03-2021,IN,New Delhi,dew,22,8,16.5,13,84.92
30-03-2021,IN,New Delhi,dew,24,2,18,13,180.32
16-02-2021,IN,New Delhi,dew,18,13,18.5,15,33.31
05-03-2021,IN,New Delhi,dew,23,9.5,18,14,62.27
12-03-2021,IN,New Delhi,dew,23,10,18,12,106.05
14-01-2021,IN,New Delhi,temperature,23,6,19,10.5,214.87
20-01-2021,IN,New Delhi,temperature,12,9,17,13,101.51
24-01-2021,IN,New Delhi,temperature,24,10,15,12,20.65
09-04-2021,IN,New Delhi,temperature,24,20,36,26.5,302.88
29-12-2020,IN,New Delhi,temperature,24,6,16,9,106.07
03-02-2021,IN,New Delhi,temperature,24,14,25,17,146.5
08-02-2021,IN,New Delhi,temperature,24,10,23,14.5,225.76
28-02-2021,IN,New Delhi,temperature,24,17.5,32,23,217.28
04-04-2021,IN,New Delhi,temperature,24,19,36,26.5,358.91
07-01-2021,IN,New Delhi,temperature,24,13,19,16,26.72
18-01-2021,IN,New Delhi,temperature,17,11,19,12,111.54
21-02-2021,IN,New Delhi,temperature,24,12,27,18,270.61
03-03-2021,IN,New Delhi,temperature,24,13,30,18.5,342.81
07-03-2021,IN,New Delhi,temperature,24,17,34,24,340.05
10-03-2021,IN,New Delhi,temperature,24,19,31.5,23.5,187.16
11-03-2021,IN,New Delhi,temperature,24,19,35,24,270.36
16-04-2021,IN,New Delhi,temperature,24,21.5,38,25.5,363.91
31-12-2020,IN,New Delhi,temperature,24,6,14,8.5,75.76
12-02-2021,IN,New Delhi,temperature,24,11.5,27,16.5,256.7
14-03-2021,IN,New Delhi,temperature,24,18,31,23.5,183.58
23-03-2021,IN,New Delhi,temperature,24,22,30,24,48.22
02-04-2021,IN,New Delhi,temperature,24,16,33,26,317.71
10-04-2021,IN,New Delhi,temperature,24,22.5,36,28,220.2
19-04-2021,IN,New Delhi,temperature,24,22,37,30.5,249.56
17-01-2021,IN,New Delhi,temperature,22,6,14,10,84.75
19-03-2021,IN,New Delhi,temperature,24,22,33,25,162.57
26-03-2021,IN,New Delhi,temperature,24,16,31,23,243
28-03-2021,IN,New Delhi,temperature,23,19,37,28.5,411.55
05-03-2021,IN,New Delhi,temperature,24,14.5,31,21,295.61
12-03-2021,IN,New Delhi,temperature,24,19.5,31,24,93.15
08-03-2021,IN,New Delhi,temperature,24,20.5,31,23.5,108.04
05-04-2021,IN,New Delhi,temperature,24,21,37.5,31,325.72
07-02-2021,IN,New Delhi,temperature,24,9,22,13.5,192.81
04-02-2021,IN,New Delhi,temperature,24,12.5,21,16,61.52
06-02-2021,IN,New Delhi,temperature,24,10,22,13.5,168.47
13-02-2021,IN,New Delhi,temperature,24,14,27,17,211.45
17-04-2021,IN,New Delhi,temperature,24,20,33,26,207.37
02-02-2021,IN,New Delhi,temperature,24,11,25,15.5,257.16
24-03-2021,IN,New Delhi,temperature,24,18,33,26,227.06
03-04-2021,IN,New Delhi,temperature,24,18.5,34,25.5,275.49
20-04-2021,IN,New Delhi,temperature,24,24,33,26.5,110.87
04-03-2021,IN,New Delhi,temperature,24,15,32,22,383.89
19-01-2021,IN,New Delhi,temperature,10,9,16,13,66.14
25-01-2021,IN,New Delhi,temperature,24,9,17,11,82.32
29-01-2021,IN,New Delhi,temperature,24,7,19,11.5,160.2
23-02-2021,IN,New Delhi,temperature,24,13.5,31,20,390.36
03-01-2021,IN,New Delhi,temperature,24,12,17,14,17.39
18-02-2021,IN,New Delhi,temperature,23,13.5,26,18.5,207.15
10-02-2021,IN,New Delhi,temperature,24,12,29,16.5,308.58
06-01-2021,IN,New Delhi,temperature,24,15,19,16,14.98
09-02-2021,IN,New Delhi,temperature,24,10,25,15,294.76
29-03-2021,IN,New Delhi,temperature,24,24,40,27.5,298.89
12-04-2021,IN,New Delhi,temperature,24,22,38,27.5,318.46
05-01-2021,IN,New Delhi,temperature,24,15,19,17,19.55
25-03-2021,IN,New Delhi,temperature,24,17,29,23,158.22
27-03-2021,IN,New Delhi,temperature,24,18,33.5,26,277.89
06-04-2021,IN,New Delhi,temperature,24,23,37.5,31,212.17
11-04-2021,IN,New Delhi,temperature,24,20.5,37,29,288.98
13-04-2021,IN,New Delhi,temperature,24,21.5,39,29.5,325.76
14-04-2021,IN,New Delhi,temperature,24,23.5,39.5,31,265.86
18-04-2021,IN,New Delhi,temperature,24,21,35,29,232.93
11-02-2021,IN,New Delhi,temperature,24,11,24,16.5,202.28
